Sequence.Name,SYMBOL,Sequence.Description,Enzyme.Code
AT1G02950,GSTF4,Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).,EC:2.5.1.18
AT1G03090,MCCA,"MCCA is the biotinylated subunit of the dimer MCCase, which is involved in leucine degradation. Both subunits are nuclear coded and the active enzyme is located in the mitochondrion.",EC:6.4.1.4
AT1G03190,ATXPD,UV damage and heat induce a common stress response in plants that leads to tissue death and reduced chloroplast function. The UVH6 product is suggested to be a negative regulator of this response.,EC:3.6.4.12
AT1G03190,UVH6,UV damage and heat induce a common stress response in plants that leads to tissue death and reduced chloroplast function. The UVH6 product is suggested to be a negative regulator of this response.,EC:3.6.4.12
AT1G03445,BSU1,"encodes a serinethreonine protein phosphatase with an N-terminal Kelch-repeat domain, which is nuclear localized and expressed preferentially in elongating cells. Genetic evidence suggest that this gene plays a redundant role (along with other members of the same gene family) in modulating growth in response to brassinosteroid.",EC:3.1.3.16
AT1G03475,ATCPO-I,"Encodes coproporphyrinogen III oxidase, a key enzyme in the biosynthetic pathway of chlorophyll and heme, a tetrapyrrole pathway. Mutants express cytological and molecular markers associated with the defense responses, usually activated by pathogen infection.",EC:1.3.3.3
AT1G03475,HEMF1,"Encodes coproporphyrinogen III oxidase, a key enzyme in the biosynthetic pathway of chlorophyll and heme, a tetrapyrrole pathway. Mutants express cytological and molecular markers associated with the defense responses, usually activated by pathogen infection.",EC:1.3.3.3
AT1G03475,LIN2,"Encodes coproporphyrinogen III oxidase, a key enzyme in the biosynthetic pathway of chlorophyll and heme, a tetrapyrrole pathway. Mutants express cytological and molecular markers associated with the defense responses, usually activated by pathogen infection.",EC:1.3.3.3
AT1G03630,POR,Encodes for a protein with protochlorophyllide oxidoreductase activity. The enzyme is NADPH- and light-dependent.,EC:1.3.1.33
AT1G03630,PORC,Encodes for a protein with protochlorophyllide oxidoreductase activity. The enzyme is NADPH- and light-dependent.,EC:1.3.1.33
AT1G04310,ERS2,encodes an ethylene receptor related to bacterial two-component histidine kinases.,EC:2.7.13
AT1G04410,c-NAD-MDH1,NA,EC:1.1.1.37
AT1G04510,MAC3A,"Encodes MAC3A, a U-box proteins with homology to the yeast and human E3 ubiquitin ligase Prp19.  Associated with the MOS4-Associated Complex (MAC).  Involved in plant innate immunity.",EC:6.3.2.19
AT1G04510,PUB59,"Encodes MAC3A, a U-box proteins with homology to the yeast and human E3 ubiquitin ligase Prp19.  Associated with the MOS4-Associated Complex (MAC).  Involved in plant innate immunity.",EC:6.3.2.19
AT1G04610,YUC3,NA,EC:1.14.13
AT1G04620,HCAR,NA,EC:1.12.98.1
AT1G04630,MEE4,NA,EC:1.6.99.3
AT1G04630,MEE4,NA,EC:1.6.5.3
AT1G04635,AtPOP5,NA,EC:3.1.26.5
AT1G04635,EMB1687,NA,EC:3.1.26.5
AT1G04635,POP5,NA,EC:3.1.26.5
AT1G04640,LIP2,"Lipoyltransferase, located in mitochondria but not found in chloroplasts",EC:2.3.1.181
AT1G04680,NA,NA,EC:4.2.2.2
AT1G04710,KAT1,EC2.3.1.16 thiolase.,EC:2.3.1.16
AT1G04710,PKT4,EC2.3.1.16 thiolase.,EC:2.3.1.16
AT1G04920,ATSPS3F,Encodes a protein with putative sucrose-phosphate synthase activity.,EC:2.4.1.14
AT1G04920,AtSPSB,Encodes a protein with putative sucrose-phosphate synthase activity.,EC:2.4.1.14
AT1G04920,SPS3F,Encodes a protein with putative sucrose-phosphate synthase activity.,EC:2.4.1.14
AT1G04920,SPSB,Encodes a protein with putative sucrose-phosphate synthase activity.,EC:2.4.1.14
AT1G04980,ATPDI10,"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). AtIRE1-2 does not appear to be required for this response, but the atbzip60 mutant has a diminished response.",EC:5.3.4.1
AT1G04980,ATPDIL2-2,"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). AtIRE1-2 does not appear to be required for this response, but the atbzip60 mutant has a diminished response.",EC:5.3.4.1
AT1G04980,PDI10,"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). AtIRE1-2 does not appear to be required for this response, but the atbzip60 mutant has a diminished response.",EC:5.3.4.1
AT1G04980,PDIL2-2,"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). AtIRE1-2 does not appear to be required for this response, but the atbzip60 mutant has a diminished response.",EC:5.3.4.1
AT1G05010,ACO4,Encodes 1-aminocyclopropane-1-carboxylate oxidase,EC:1.14.17.4
AT1G05010,EAT1,Encodes 1-aminocyclopropane-1-carboxylate oxidase,EC:1.14.17.4
AT1G05010,EFE,Encodes 1-aminocyclopropane-1-carboxylate oxidase,EC:1.14.17.4
AT1G05160,ATKAO1,"Encodes an ent-kaurenoic acid hydroxylase, a  member of the CYP88A cytochrome p450 family.",EC:1.14.13.79
AT1G05160,CYP88A3,"Encodes an ent-kaurenoic acid hydroxylase, a  member of the CYP88A cytochrome p450 family.",EC:1.14.13.79
AT1G05160,KAO1,"Encodes an ent-kaurenoic acid hydroxylase, a  member of the CYP88A cytochrome p450 family.",EC:1.14.13.79
AT1G05260,PER3,"Encodes a cold-inducible cationic peroxidase that is involved in the stress response. In response to low temperature, RCI3 transcripts accumulate in the aerial part and in roots of etiolated seedlings but only in roots of light-grown seedlings.",EC:1.11.1.7
AT1G05260,RCI3,"Encodes a cold-inducible cationic peroxidase that is involved in the stress response. In response to low temperature, RCI3 transcripts accumulate in the aerial part and in roots of etiolated seedlings but only in roots of light-grown seedlings.",EC:1.11.1.7
AT1G05260,RCI3A,"Encodes a cold-inducible cationic peroxidase that is involved in the stress response. In response to low temperature, RCI3 transcripts accumulate in the aerial part and in roots of etiolated seedlings but only in roots of light-grown seedlings.",EC:1.11.1.7
AT1G05590,ATHEX3,Encodes a protein with &#946;-hexosaminidase activity (the enzyme is active with p-nitrophenyl-&#946;-N-acetylglucosaminide as substrate but displayed only a minor activity toward p-nitrophenyl-&#946;-N-acetylgalactosaminide). Chitotriose-PA was digested almost completely overnight by a 50% ammonium sulfate fraction of a supernatant yeast expressing AtHEX3.,EC:3.2.1.52
AT1G05590,HEXO2,Encodes a protein with &#946;-hexosaminidase activity (the enzyme is active with p-nitrophenyl-&#946;-N-acetylglucosaminide as substrate but displayed only a minor activity toward p-nitrophenyl-&#946;-N-acetylgalactosaminide). Chitotriose-PA was digested almost completely overnight by a 50% ammonium sulfate fraction of a supernatant yeast expressing AtHEX3.,EC:3.2.1.52
AT1G05610,APS2,Encodes the small subunit of ADP-glucose pyrophosphorylase. The small subunit is the catalytic isoform responsible for ADP-glucose pyrophosphorylase activity. The presence of the small subunit is required for large subunit stability. Two isoforms of the small subunit (ApS1 and ApS2) have been described. ApS2 is a minor small subunit isoform present in all plant tissues tested.,EC:2.7.7.27
AT1G05900,ATNTH2,NA,EC:4.2.99.18
AT1G05900,NTH2,NA,EC:4.2.99.18
AT1G06020,FRK3,NA,EC:2.7.1.4
AT1G06020,FRK5,NA,EC:2.7.1.4
AT1G06030,FRK2,NA,EC:2.7.1.4
AT1G06030,FRK6,NA,EC:2.7.1.4
AT1G06080,ADS1,homologous to delta 9 acyl-lipid desaturases of cyanobacteria and acyl-CoA desaturases of yeast and mammals. expression down-regulated by cold temperature.,EC:1.14.19.1
AT1G06080,AtADS1,homologous to delta 9 acyl-lipid desaturases of cyanobacteria and acyl-CoA desaturases of yeast and mammals. expression down-regulated by cold temperature.,EC:1.14.19.1
AT1G06290,ACX3,Encodes an acyl-CoA oxidase with specificity for medium chain fatty acids.,EC:1.3.3.6
AT1G06290,ATACX3,Encodes an acyl-CoA oxidase with specificity for medium chain fatty acids.,EC:1.3.3.6
AT1G06310,ACX6,"Encodes a putative acyl-CoA oxidase.  However, no transcripts have been detected for this gene and no altered phenotypes have been detected in plants mutant for this gene.  This suggests that ACX6 does not significantly contribute to seedling beta-oxidation of fatty acids or indole-3-butyric acid in vivo.",EC:1.3.3.6
AT1G06410,ATTPS7,"Encodes an enzyme putatively involved in trehalose biosynthesis. Though the protein has both trehalose-6-phosphate synthase (TPS)-like and trehalose-6-phosphate phosphatase (TPP)-like domains, neither activity has been detected in enzymatic assays nor has the protein been able to complement yeast TPS or TPP mutants.",EC:2.4.1.15
AT1G06410,ATTPS7,"Encodes an enzyme putatively involved in trehalose biosynthesis. Though the protein has both trehalose-6-phosphate synthase (TPS)-like and trehalose-6-phosphate phosphatase (TPP)-like domains, neither activity has been detected in enzymatic assays nor has the protein been able to complement yeast TPS or TPP mutants.",EC:3.1.3.12
AT1G06410,ATTPSA,"Encodes an enzyme putatively involved in trehalose biosynthesis. Though the protein has both trehalose-6-phosphate synthase (TPS)-like and trehalose-6-phosphate phosphatase (TPP)-like domains, neither activity has been detected in enzymatic assays nor has the protein been able to complement yeast TPS or TPP mutants.",EC:2.4.1.15
AT1G06410,ATTPSA,"Encodes an enzyme putatively involved in trehalose biosynthesis. Though the protein has both trehalose-6-phosphate synthase (TPS)-like and trehalose-6-phosphate phosphatase (TPP)-like domains, neither activity has been detected in enzymatic assays nor has the protein been able to complement yeast TPS or TPP mutants.",EC:3.1.3.12
AT1G06410,TPS7,"Encodes an enzyme putatively involved in trehalose biosynthesis. Though the protein has both trehalose-6-phosphate synthase (TPS)-like and trehalose-6-phosphate phosphatase (TPP)-like domains, neither activity has been detected in enzymatic assays nor has the protein been able to complement yeast TPS or TPP mutants.",EC:2.4.1.15
AT1G06410,TPS7,"Encodes an enzyme putatively involved in trehalose biosynthesis. Though the protein has both trehalose-6-phosphate synthase (TPS)-like and trehalose-6-phosphate phosphatase (TPP)-like domains, neither activity has been detected in enzymatic assays nor has the protein been able to complement yeast TPS or TPP mutants.",EC:3.1.3.12
AT1G06520,ATGPAT1,Encodes a membrane associated mitochondrial localized protein with  glycerol-3-phosphate acyltransferase activity.Expressed in flower buds and siliques. Homozygous mutant plants are male sterile and have abnormal glycerolipid levels.,EC:2.3.1.15
AT1G06520,GPAT1,Encodes a membrane associated mitochondrial localized protein with  glycerol-3-phosphate acyltransferase activity.Expressed in flower buds and siliques. Homozygous mutant plants are male sterile and have abnormal glycerolipid levels.,EC:2.3.1.15
AT1G06520,sn-2-GPAT1,Encodes a membrane associated mitochondrial localized protein with  glycerol-3-phosphate acyltransferase activity.Expressed in flower buds and siliques. Homozygous mutant plants are male sterile and have abnormal glycerolipid levels.,EC:2.3.1.15
AT1G06550,NA,NA,EC:3.1.2.4
AT1G06570,HPD,"Mutation of the PDS1 locus disrupts the activity of p-hydroxyphenylpyruvate dioxygenase (HPPDase), the first committed step in the synthesis of both plastoquinone and tocopherols in plants.",EC:1.13.11.27
AT1G06570,HPPD,"Mutation of the PDS1 locus disrupts the activity of p-hydroxyphenylpyruvate dioxygenase (HPPDase), the first committed step in the synthesis of both plastoquinone and tocopherols in plants.",EC:1.13.11.27
AT1G06570,PDS1,"Mutation of the PDS1 locus disrupts the activity of p-hydroxyphenylpyruvate dioxygenase (HPPDase), the first committed step in the synthesis of both plastoquinone and tocopherols in plants.",EC:1.13.11.27
AT1G06780,GAUT6,Encodes a protein with  putative galacturonosyltransferase activity.,EC:2.4.1.43
AT1G06790,NRPC7,NA,EC:2.7.7.6
AT1G06820,CCR2,"Encodes carotenoid isomerase. Catalyzes the isomerization of poly-cis-carotenoids to all-trans-carotenoids. Together with PDS and ZDS, CRTiso is required to complete the synthesis of lycopene from phytoene.",EC:5
AT1G06820,CRTISO,"Encodes carotenoid isomerase. Catalyzes the isomerization of poly-cis-carotenoids to all-trans-carotenoids. Together with PDS and ZDS, CRTiso is required to complete the synthesis of lycopene from phytoene.",EC:5
AT1G06870,Plsp2A,NA,EC:3.4.21.89
AT1G07110,ATF2KP,"Encodes the bifunctional enzyme fructose-6-phosphate 2-kinase/fructose-2,6-bisphosphatase.",EC:3.1.3.46
AT1G07110,ATF2KP,"Encodes the bifunctional enzyme fructose-6-phosphate 2-kinase/fructose-2,6-bisphosphatase.",EC:2.7.1.105
AT1G07110,F2KP,"Encodes the bifunctional enzyme fructose-6-phosphate 2-kinase/fructose-2,6-bisphosphatase.",EC:3.1.3.46
AT1G07110,F2KP,"Encodes the bifunctional enzyme fructose-6-phosphate 2-kinase/fructose-2,6-bisphosphatase.",EC:2.7.1.105
AT1G07110,FKFBP,"Encodes the bifunctional enzyme fructose-6-phosphate 2-kinase/fructose-2,6-bisphosphatase.",EC:3.1.3.46
AT1G07110,FKFBP,"Encodes the bifunctional enzyme fructose-6-phosphate 2-kinase/fructose-2,6-bisphosphatase.",EC:2.7.1.105
AT1G07230,NPC1,NA,EC:3.1.4.3
AT1G07420,ATSMO1,Arabidopsis thaliana sterol 4-alpha-methyl-oxidase mRNA,EC:1.14.13.72
AT1G07420,SMO2-1,Arabidopsis thaliana sterol 4-alpha-methyl-oxidase mRNA,EC:1.14.13.72
AT1G07430,AIP1,NA,EC:3.1.3.16
AT1G07430,AtAIP1,NA,EC:3.1.3.16
AT1G07430,HAI2,NA,EC:3.1.3.16
AT1G07430,HON,NA,EC:3.1.3.16
AT1G07450,NA,NA,EC:1.1.1.206
AT1G07780,PAI1,Encodes phosphoribosylanthranilate isomerase which catalyzes the third step of the tryptophan biosynthetic pathway. Member of gene family.,EC:5.3.1.24
AT1G07780,TRP6,Encodes phosphoribosylanthranilate isomerase which catalyzes the third step of the tryptophan biosynthetic pathway. Member of gene family.,EC:5.3.1.24
AT1G07880,ATMPK13,member of MAP Kinase,EC:2.7.11.24
AT1G07890,APX1,"Encodes a cytosolic ascorbate peroxidase APX1.  Ascorbate peroxidases are enzymes that scavenge hydrogen peroxide in plant cells.  Eight types of APX have been described for Arabidopsis: three cytosolic (APX1, APX2, APX6), two chloroplastic types (stromal sAPX, thylakoid tAPX), and three microsomal (APX3, APX4, APX5) isoforms. At least part of the induction of heat shock proteins during light stress in Arabidopsis is mediated by H2O2 that is scavenged by APX1. Expression of the gene is downregulated in the presence of paraquat, an inducer of photoxidative stress.",EC:1.11.1.11
AT1G07890,ATAPX01,"Encodes a cytosolic ascorbate peroxidase APX1.  Ascorbate peroxidases are enzymes that scavenge hydrogen peroxide in plant cells.  Eight types of APX have been described for Arabidopsis: three cytosolic (APX1, APX2, APX6), two chloroplastic types (stromal sAPX, thylakoid tAPX), and three microsomal (APX3, APX4, APX5) isoforms. At least part of the induction of heat shock proteins during light stress in Arabidopsis is mediated by H2O2 that is scavenged by APX1. Expression of the gene is downregulated in the presence of paraquat, an inducer of photoxidative stress.",EC:1.11.1.11
AT1G07890,ATAPX1,"Encodes a cytosolic ascorbate peroxidase APX1.  Ascorbate peroxidases are enzymes that scavenge hydrogen peroxide in plant cells.  Eight types of APX have been described for Arabidopsis: three cytosolic (APX1, APX2, APX6), two chloroplastic types (stromal sAPX, thylakoid tAPX), and three microsomal (APX3, APX4, APX5) isoforms. At least part of the induction of heat shock proteins during light stress in Arabidopsis is mediated by H2O2 that is scavenged by APX1. Expression of the gene is downregulated in the presence of paraquat, an inducer of photoxidative stress.",EC:1.11.1.11
AT1G07890,CS1,"Encodes a cytosolic ascorbate peroxidase APX1.  Ascorbate peroxidases are enzymes that scavenge hydrogen peroxide in plant cells.  Eight types of APX have been described for Arabidopsis: three cytosolic (APX1, APX2, APX6), two chloroplastic types (stromal sAPX, thylakoid tAPX), and three microsomal (APX3, APX4, APX5) isoforms. At least part of the induction of heat shock proteins during light stress in Arabidopsis is mediated by H2O2 that is scavenged by APX1. Expression of the gene is downregulated in the presence of paraquat, an inducer of photoxidative stress.",EC:1.11.1.11
AT1G07890,MEE6,"Encodes a cytosolic ascorbate peroxidase APX1.  Ascorbate peroxidases are enzymes that scavenge hydrogen peroxide in plant cells.  Eight types of APX have been described for Arabidopsis: three cytosolic (APX1, APX2, APX6), two chloroplastic types (stromal sAPX, thylakoid tAPX), and three microsomal (APX3, APX4, APX5) isoforms. At least part of the induction of heat shock proteins during light stress in Arabidopsis is mediated by H2O2 that is scavenged by APX1. Expression of the gene is downregulated in the presence of paraquat, an inducer of photoxidative stress.",EC:1.11.1.11
AT1G07920,ELONGATION,NA,EC:3.6.5.3
AT1G08065,ACA5,NA,EC:4.2.1.1
AT1G08065,ATACA5,NA,EC:4.2.1.1
AT1G08080,ACA7,NA,EC:4.2.1.1
AT1G08080,ATACA7,NA,EC:4.2.1.1
AT1G08110,AtGLYI2,NA,EC:4.4.1.5
AT1G08110,GLXI.3,NA,EC:4.4.1.5
AT1G08110,GLXI:3,NA,EC:4.4.1.5
AT1G08110,GLYI2,NA,EC:4.4.1.5
AT1G08130,ATLIG1,Encodes the Arabidopsis DNA ligase 1 that provides the major DNA ligase activity in cells and plays a key role in both DNA replication and excision repair pathways.  Indispensable for cell viability. AtLIG1 expresses one major and two minor mRNA transcripts differing only in the length of the 5' untranslated leader sequences preceding a common ORF. Translation from the first in-frame start codon produces an AtLIG1 isoform that is targeted exclusively to the mitochondria. Translation initiation from the second in-frame start codon produces an AtLIG1 isoform targeted only to the nucleus.,EC:6.5.1.1
AT1G08130,LIG1,Encodes the Arabidopsis DNA ligase 1 that provides the major DNA ligase activity in cells and plays a key role in both DNA replication and excision repair pathways.  Indispensable for cell viability. AtLIG1 expresses one major and two minor mRNA transcripts differing only in the length of the 5' untranslated leader sequences preceding a common ORF. Translation from the first in-frame start codon produces an AtLIG1 isoform that is targeted exclusively to the mitochondria. Translation initiation from the second in-frame start codon produces an AtLIG1 isoform targeted only to the nucleus.,EC:6.5.1.1
AT1G08260,ABO4,"Similar to POL2A, DNA polymerase epsilon catalytic subunit. Essential for Arabidopsis growth. Null homozygotes are embryo lethal, partial loss of function alleles show embryo patterning defects such as root pole displacement. Delayed progression through cell cycle results in embryos with smaller numbers of larger cells.",EC:2.7.7.7
AT1G08260,EMB142,"Similar to POL2A, DNA polymerase epsilon catalytic subunit. Essential for Arabidopsis growth. Null homozygotes are embryo lethal, partial loss of function alleles show embryo patterning defects such as root pole displacement. Delayed progression through cell cycle results in embryos with smaller numbers of larger cells.",EC:2.7.7.7
AT1G08260,EMB2284,"Similar to POL2A, DNA polymerase epsilon catalytic subunit. Essential for Arabidopsis growth. Null homozygotes are embryo lethal, partial loss of function alleles show embryo patterning defects such as root pole displacement. Delayed progression through cell cycle results in embryos with smaller numbers of larger cells.",EC:2.7.7.7
AT1G08260,EMB529,"Similar to POL2A, DNA polymerase epsilon catalytic subunit. Essential for Arabidopsis growth. Null homozygotes are embryo lethal, partial loss of function alleles show embryo patterning defects such as root pole displacement. Delayed progression through cell cycle results in embryos with smaller numbers of larger cells.",EC:2.7.7.7
AT1G08260,ESD7,"Similar to POL2A, DNA polymerase epsilon catalytic subunit. Essential for Arabidopsis growth. Null homozygotes are embryo lethal, partial loss of function alleles show embryo patterning defects such as root pole displacement. Delayed progression through cell cycle results in embryos with smaller numbers of larger cells.",EC:2.7.7.7
AT1G08260,POL2A,"Similar to POL2A, DNA polymerase epsilon catalytic subunit. Essential for Arabidopsis growth. Null homozygotes are embryo lethal, partial loss of function alleles show embryo patterning defects such as root pole displacement. Delayed progression through cell cycle results in embryos with smaller numbers of larger cells.",EC:2.7.7.7
AT1G08260,TIL1,"Similar to POL2A, DNA polymerase epsilon catalytic subunit. Essential for Arabidopsis growth. Null homozygotes are embryo lethal, partial loss of function alleles show embryo patterning defects such as root pole displacement. Delayed progression through cell cycle results in embryos with smaller numbers of larger cells.",EC:2.7.7.7
AT1G08410,DIG6,NA,EC:3.6.1
AT1G08410,LSG1-2,NA,EC:3.6.1
AT1G08490,ATCPNIFS,Chloroplastic NifS-like protein that can catalyze the conversion of cysteine into alanine and elemental  sulfur (S(0)) and of selenocysteine into alanine and elemental Se (Se(0)). Overexpression enhances selenium tolerance and accumulation.,EC:4.4.1.16
AT1G08490,ATCPNIFS,Chloroplastic NifS-like protein that can catalyze the conversion of cysteine into alanine and elemental  sulfur (S(0)) and of selenocysteine into alanine and elemental Se (Se(0)). Overexpression enhances selenium tolerance and accumulation.,EC:2.8.1.7
AT1G08490,ATNFS2,Chloroplastic NifS-like protein that can catalyze the conversion of cysteine into alanine and elemental  sulfur (S(0)) and of selenocysteine into alanine and elemental Se (Se(0)). Overexpression enhances selenium tolerance and accumulation.,EC:4.4.1.16
AT1G08490,ATNFS2,Chloroplastic NifS-like protein that can catalyze the conversion of cysteine into alanine and elemental  sulfur (S(0)) and of selenocysteine into alanine and elemental Se (Se(0)). Overexpression enhances selenium tolerance and accumulation.,EC:2.8.1.7
